run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
PUB_T1-0-20260914-20:25:42-1884,config,,,*.controller.numApps,0,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,*.lamp*.numApps,0,,,,,,,
PUB_T1-0-20260914-20:25:42-1884,config,,,**.vector-recording,false,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,configname,PUB_T1,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,datetime,20260914-20:24:26,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,datetimef,20260914-202426,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,experiment,PUB_T1,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,inifile,omnetpp.ini,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,iterationvars,,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,iterationvarsd,,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,iterationvarsf,,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,measurement,,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,processid,1782,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,repetition,2,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,replication,#2,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,resultdir,results,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,runnumber,2,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,runattr,,,seedset,2,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,extends,PublishSubscribeBase,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].sendInterval,1s,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,repeat,5,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,seed-set,2,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,extends,Common,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].numApps,1,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].typename,UdpBasicApp,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].destAddresses,"""monitoringServer""",,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].destPort,3000,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].messageLength,50B,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].sendInterval,10s,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].startTime,"uniform(1s,2s)",,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].packetName,"""SensorPublication""",,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.monitoringServer.numApps,1,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.monitoringServer.app[0].typename,UdpSink,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.monitoringServer.app[0].localPort,3000,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].app[0].packetSent.result-recording-modes,count,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.monitoringServer.app[0].packetReceived.result-recording-modes,count,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.monitoringServer.app[0].endToEndDelay.result-recording-modes,+stats,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,sim-time-limit,600s,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.numSensors,12,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,**.arp.typename,GlobalArp,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,**.netmaskRoutes,"""""",,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.radioMedium.backgroundNoise.power,-110dBm,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.configurator.config,"xmldoc(""startopology.xml"")",,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.configurator.addStaticRoutes,false,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].mobility.initFromDisplayString,false,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].mobility.initialX,"uniform(1m, 19m)",,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].mobility.initialY,"uniform(1m, 19m)",,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.sensor[*].mobility.initialZ,0m,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.controller.numApps,0,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,*.lamp*.numApps,0,,,,,,,
PUB_T1-2-20260914-20:24:26-1782,config,,,**.vector-recording,false,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,configname,PUB_T1,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,datetime,20260914-20:24:39,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,datetimef,20260914-202439,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,experiment,PUB_T1,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,inifile,omnetpp.ini,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,iterationvars,,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,iterationvarsd,,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,iterationvarsf,,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,measurement,,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,processid,1787,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,repetition,3,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,replication,#3,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,resultdir,results,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,runnumber,3,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,runattr,,,seedset,3,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,extends,PublishSubscribeBase,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].sendInterval,1s,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,repeat,5,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,seed-set,3,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,extends,Common,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].numApps,1,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].typename,UdpBasicApp,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].destAddresses,"""monitoringServer""",,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].destPort,3000,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].messageLength,50B,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].sendInterval,10s,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].startTime,"uniform(1s,2s)",,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.sensor[*].app[0].packetName,"""SensorPublication""",,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.monitoringServer.numApps,1,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.monitoringServer.app[0].typename,UdpSink,,,,,,,
PUB_T1-3-20260914-20:24:39-1787,config,,,*.monitoringServer.app[0].localPort,3000,,,,,,,
